employee_id,company_id,dept,seniority,salary,join_date,quit_date,churn,duration_jours
751615.0,6,customer_service,6,63000.0,2011-01-31,2011-10-13,yes,255.0
972130.0,10,marketing,20,147000.0,2011-02-22,2011-10-14,yes,234.0
581263.0,1,sales,5,118000.0,2011-01-24,2011-10-21,yes,270.0
135834.0,4,engineer,16,169000.0,2011-02-07,2011-10-28,yes,263.0
71407.0,1,customer_service,19,107000.0,2011-01-25,2011-11-11,yes,290.0
202573.0,1,engineer,10,199000.0,2011-01-31,2011-11-22,yes,295.0
370889.0,2,engineer,21,255000.0,2011-02-22,2011-11-25,yes,276.0
571350.0,1,marketing,7,119000.0,2011-01-31,2011-11-25,yes,298.0
380243.0,8,customer_service,5,66000.0,2011-02-14,2011-12-02,yes,291.0
4356.0,6,customer_service,26,92000.0,2011-02-07,2011-12-02,yes,298.0
410589.0,1,engineer,14,208000.0,2011-02-08,2011-12-09,yes,304.0
245622.0,4,design,14,82000.0,2011-01-31,2011-12-09,yes,312.0
6612.0,8,customer_service,25,87000.0,2011-02-02,2011-12-09,yes,310.0
45624.0,2,customer_service,10,80000.0,2011-01-31,2011-12-13,yes,316.0
843514.0,4,engineer,5,172000.0,2011-02-07,2011-12-16,yes,312.0
18837.0,4,customer_service,15,98000.0,2011-01-24,2011-12-16,yes,326.0
694726.0,1,customer_service,5,70000.0,2011-02-28,2011-12-16,yes,291.0
314473.0,4,customer_service,11,57000.0,2011-02-14,2011-12-16,yes,305.0
531503.0,2,design,10,104000.0,2011-02-07,2011-12-16,yes,312.0
712129.0,8,customer_service,4,25000.0,2011-02-28,2011-12-16,yes,291.0
149299.0,5,marketing,18,147000.0,2011-01-24,2011-12-16,yes,326.0
527591.0,2,engineer,11,178000.0,2011-01-24,2011-12-16,yes,326.0
15704.0,8,marketing,15,155000.0,2011-01-31,2011-12-23,yes,326.0
666277.0,6,engineer,24,211000.0,2011-02-28,2011-12-23,yes,298.0
141854.0,3,customer_service,26,112000.0,2011-03-28,2011-12-23,yes,270.0
192905.0,1,data_science,4,89000.0,2011-02-09,2011-12-23,yes,317.0
490535.0,8,data_science,7,163000.0,2011-01-24,2011-12-23,yes,333.0
883639.0,7,data_science,5,166000.0,2011-02-07,2011-12-23,yes,319.0
101358.0,10,sales,20,124000.0,2011-02-07,2011-12-23,yes,319.0
911045.0,1,sales,28,199000.0,2011-02-22,2011-12-23,yes,304.0
